symbol,avg_daily_return,volatility,sharpe_ratio,max_drawdown,avg_volume,best_model,best_model_rmse
iba,0.0007091155936518687,0.34266054207987356,0.5214989987339043,-0.7427978871641985,17732.494180559923,RandomForestRegressor,0.6666928906355817
wpz,0.0004681141435395717,0.37364213346142705,0.3157159046254889,-0.8153993197087679,988101.5922901012,RandomForestRegressor,0.6113873459297688
opnt,-0.0016407251293417086,1.2708434745322956,-0.325345127767427,-0.2527699046637465,78088.33333333333,XGBRegressor,1.2783542328894484
indf,0.0006086608953277702,0.09783837254597222,1.5677135834462785,-0.0444745717875803,477.5922619047619,RandomForestRegressor,0.2563643472085346
flic,0.000593190842750904,0.28395622470964454,0.5264335815356069,-0.26184138559708303,37954.05726724715,RandomForestRegressor,0.23592417711180247
nbhc,0.00047628267318693606,0.2054135265270163,0.5843005359597011,-0.193247347801206,186056.82901960783,RandomForestRegressor,0.28454408764982436
ncs,-0.00010033740044698396,0.5853196309045268,-0.04319866202602092,-0.9795306001188354,230944.97422194277,RandomForestRegressor,3.094530467376592
grvy,0.0010872973321364517,0.7914843249892538,0.3461836438796258,-0.9646369830827067,11636.28272251309,RandomForestRegressor,1.3564569469597973
lgcyo,-0.00011064742205484605,0.864219886834678,-0.03226395363331318,-0.9369659616192744,46646.032412965185,RandomForestRegressor,0.3559545902099915
eqco,0.00027507435822748824,0.12022388668471112,0.5765804133010309,-0.24751664106502824,29696.764302059495,RandomForestRegressor,0.1565935630376802
gpk,0.0011190934443292243,0.6132649622793975,0.4598526987792967,-0.9041488088008189,1624477.3087079534,RandomForestRegressor,0.14759035624846475
wti,0.00024821767224353364,0.6260813693076146,0.09990850466377185,-0.9714557564224549,1022262.1197736561,RandomForestRegressor,0.6227073902557191
dyn_a,-0.0007619766350510366,0.5476905776070499,-0.3505959749605698,-0.8190468171101382,20367.245492371705,RandomForestRegressor,2.2820055538539985
cstr,0.0005233651501290202,0.3066511388735556,0.430091400661309,-0.26282342260553804,36891.182835820895,RandomForestRegressor,0.4065793663673853
mygn,0.0006995143869559849,0.4106125832252326,0.4293040026399165,-0.6697059493959425,1270832.953788117,RandomForestRegressor,0.8056483058653526
jmu,-0.002086985600262666,0.8181659085349083,-0.6428040642856394,-0.9205170975813177,27141.044925124792,RandomForestRegressor,0.29921527171017204
jpem,0.0003323617690015519,0.18012855016974347,0.4649744069414022,-0.34096987807352475,16389.382581648522,RandomForestRegressor,0.5822027733737014
kelya,0.00035173679827778937,0.4139382122921327,0.21413261818758542,-0.815921518173046,172061.1603269412,RandomForestRegressor,0.4089328691524829
wbig,2.5245827928427615e-05,0.08851298383022015,0.07187588038119735,-0.2384897959183674,18375.006345177666,RandomForestRegressor,0.13446601767203487
eemx,0.001987403652869671,0.19984623489480463,2.5060553219167856,-0.04060200365674915,1899.5620437956204,RandomForestRegressor,0.6440075431346153
nycb,0.00019024894896937507,0.30501257389955283,0.15718281553884755,-0.6163417515876533,4641617.288274128,RandomForestRegressor,0.1853666521922236
elp,0.0006503506647955091,0.4492884691130577,0.3647731441939764,-0.8226728997662588,617658.2291732159,RandomForestRegressor,0.29049830079397304
axas,0.0010367439295683432,0.7606763073538925,0.34345682614993783,-0.9267192784667418,969485.9918264697,RandomForestRegressor,0.16132995903415534
cphi,0.0009485228323207857,0.918169613691668,0.26033071687461257,-0.9712230215827338,87207.60292616536,RandomForestRegressor,0.07502939244456355
thr,0.0005349843063665145,0.3215381536740818,0.4192847525678529,-0.4708333333333333,160452.0561381863,RandomForestRegressor,0.4361555436671702
nxeow,0.0018772861970642182,1.1435424325332941,0.41369354402719943,-0.8310810810810811,132376.8155737705,RandomForestRegressor,0.05287011664678733
vrsk,0.0006677136022389172,0.19744596547762394,0.8522019042383323,-0.19079754601226995,796318.2762376238,RandomForestRegressor,0.7889950187727858
abil,-0.0035883608068770587,1.1029885467774627,-0.8198334660635986,-0.9396186440677966,150281.6311111111,XGBRegressor,0.1875687216115281
evep,-0.0002944685512653487,0.592043751244251,-0.1253388364676004,-0.9920541135243063,367117.83429187635,RandomForestRegressor,0.578546958131852
srlp,0.0010037312777207066,0.3750953730330321,0.6743359160640549,-0.4020659515295987,46093.239,RandomForestRegressor,0.5258044827366921
www,0.0005361386845241829,0.3253757224103843,0.4152336489619491,-0.570337738619677,933568.6708582207,RandomForestRegressor,0.3525252792960023
nnvc,-0.0007645305360836614,0.673796507539961,-0.28593454097364324,-0.8429586776859505,186139.83170254403,RandomForestRegressor,0.13314304927446452
exr,0.0009200300491239507,0.3584998789176919,0.6467159014925792,-0.7505005220168274,923414.7547940899,RandomForestRegressor,0.6034297427584975
feye,-0.00037276129254644924,0.5892475500135846,-0.15941660804451305,-0.8912475164697271,5322738.850731707,RandomForestRegressor,1.6181856380139525
rbcaa,0.0005887656874352729,0.3987568969464389,0.3720787135466593,-0.5779904306220096,44708.96321911349,RandomForestRegressor,0.4316110268579172
enrj,0.0008312919318930948,1.6176537156746407,0.12949963568049183,-0.9740596627756161,193209.23947051744,SVR,0.11876141212696714
mlnt,0.0005027163723635601,0.7358586189667786,0.17215878508496008,-0.9531318923687693,133696.8245981831,RandomForestRegressor,4.97256695625075
avt,0.0004734623044704036,0.3352365899723237,0.35590536443647713,-0.7270689738275413,1308621.0829927695,RandomForestRegressor,0.6232025523791
dxr,-0.0002413021367837472,0.38696850637749197,-0.15713976064549634,-0.7782765794372057,5448.300833635375,RandomForestRegressor,0.23618277180156036
gdi,0.0025121337173477838,0.3437818063048768,1.8414520057824864,-0.14423076923076938,766830.5370370371,RandomForestRegressor,0.4161981859643291
ngvt,0.0023382288143529687,0.3022085909385741,1.949758143496039,-0.17196175200493535,309906.51396648044,RandomForestRegressor,1.0912011331173885
irix,0.000989878650292906,0.6656641647836777,0.3747376425992173,-0.957983193277311,26626.218538783392,RandomForestRegressor,0.21494265421339856
pay,0.0007393604071933469,0.5478860858210026,0.34006854241156037,-0.9350282485875706,1702253.1389420014,XGBRegressor,0.8796788339475178
pfbx,0.00022605016159762059,0.3964934847846277,0.1436710637339808,-0.7003780930633026,5080.1617995264405,RandomForestRegressor,0.40206501195424754
hyxu,0.00013281275585062696,0.10261671043564428,0.3261536481950262,-0.2803077347685089,21869.282962962963,RandomForestRegressor,0.31199288313425566
nlnk,0.0013695032105700096,0.7837742796310476,0.4403242336889405,-0.8932653420080886,505454.54032258067,RandomForestRegressor,1.319676091156641
ivc,9.64686424886491e-06,0.38681391942750143,0.006284700908157441,-0.799524232992441,259432.27129833386,RandomForestRegressor,0.550102116746618
mxe,0.000492637513556789,0.28211918681130416,0.44004328390236414,-0.8400248601615911,20808.08015146734,RandomForestRegressor,0.1816878418823937
osb,0.0016732464779477016,0.3230533821627321,1.3052273578439688,-0.1919589458656481,24874.67548076923,RandomForestRegressor,0.5072345444022316
txrh,0.0006604400407567052,0.35849314564221263,0.46425124801909873,-0.7658716808842966,824070.9050613014,RandomForestRegressor,0.4011799501659896
mx,0.000508797010765802,0.5419218447901225,0.23659656451501487,-0.8608400509121765,330475.3550331525,RandomForestRegressor,0.3651455763908841
smmd,0.001136902514335937,0.09059715448338301,3.1623447253545343,-0.01763875823142047,379.1875,XGBRegressor,0.2366296048323327
mnro,0.0006886315210815077,0.32940617517198817,0.5268120526943203,-0.4645017853533653,253070.721785602,RandomForestRegressor,0.7132665386389426
hdez,0.000838278157628387,0.19306039477974937,1.0941969530485582,-0.11341349780361176,961.7865168539325,RandomForestRegressor,0.2027121844349044
pgz,0.00025756264142902835,0.1423870042659433,0.4558406574724149,-0.22118004943279046,33754.36129032258,RandomForestRegressor,0.13998894222127242
l,0.00040791457606506083,0.28906288631122073,0.35561283733160143,-0.660066784521705,1805505.5158755109,RandomForestRegressor,0.5410160888022861
jasn,-0.0012002384819285513,0.5107058518147662,-0.5922393416312325,-0.9041218637992832,77859.34820457018,RandomForestRegressor,0.15151294772584997
gfy,0.00013857540844989524,0.13192768582497585,0.26469806326855577,-0.4608071677767206,28085.696883852692,RandomForestRegressor,0.08869428388740039
eim,0.00019424199560231562,0.12010180676797269,0.40756241899298945,-0.26010535557506587,194991.6670372429,RandomForestRegressor,0.08275907621495514
bll,0.0006541187110846022,0.28076476952241425,0.5871032732265945,-0.540198405453107,1858539.8226057773,RandomForestRegressor,0.21822825473127067
pci,0.0003557293470397441,0.10995817634876064,0.8152535666805456,-0.15961834410587883,718250.1675084175,RandomForestRegressor,0.1118367207193614
born,0.0005077410839745059,0.8697853225991409,0.1471061304865733,-0.9494845360824742,193812.6008653326,XGBRegressor,0.324986590529646
ribtw,0.012077674912570625,3.1324864420421386,0.9716160418506468,-0.9757798165137614,5585.460547504026,RandomForestRegressor,0.112323967413519
cizn,0.0005966017945512518,0.4502671760067025,0.33389876108730054,-0.5258001306335729,3990.280794701987,RandomForestRegressor,0.4824721874054562
usau,-0.00037358459456276983,0.8616927474441944,-0.10925392851344032,-0.9979185588858613,17274.804251269037,RandomForestRegressor,7.559626690061435
brkr,0.0011576944993881716,0.47722946730054955,0.6113181055144021,-0.8018895001195886,666607.7079534738,RandomForestRegressor,0.3968338649846545
tmo,0.0006332690896968188,0.3018198060664855,0.5287386957251072,-0.7116257113634575,1327412.2179926238,RandomForestRegressor,0.8927704176602821
nee_j,0.00014917679723761736,0.12185824696186622,0.3084941219911331,-0.25910178049428634,50350.71416596815,SVR,0.20679983738365504
clns_b,4.511802569522479e-05,0.05332769500696731,0.21320521117050306,-0.025621118012422395,20600.55497382199,RandomForestRegressor,0.07304984225441272
cmct,0.00023733681479896836,0.369580274690624,0.1618291922625094,-0.7039963623503258,10967.153821554206,RandomForestRegressor,0.2715488597626546
mmi,0.0010931921418484822,0.39520596278416126,0.697065443560302,-0.6408996408996408,128016.7248995984,RandomForestRegressor,0.8541670745564258
stor,0.0005975182049116239,0.22349551258496414,0.673725328514087,-0.3443537414965986,1342339.5040983607,RandomForestRegressor,0.428414835093944
clct,0.0006003712449428101,0.39945418359227003,0.3787507051872967,-0.8623448147110987,51115.163522012575,RandomForestRegressor,0.26973316688210885
fuv,0.002901187002592835,0.7304965810393509,1.000824841114501,-0.21592901878914406,36305.0,SVR,0.12973113284341917
pdlb,0.00013656623476642203,0.04531674711636148,0.75942545198071,-0.003984063745019917,22652.9,SVR,0.025495097567964427
oilb,0.0005057811192153516,0.4105937065676099,0.31042083695766803,-0.19450178269844254,2727.1014492753625,RandomForestRegressor,1.26294062073077
tgen,-0.0004125608861163745,0.6578671065227936,-0.15803395894171254,-0.71,13282.242610837438,SVR,0.2009282537428986
cma-ws,0.00148151809817871,0.6134938778347048,0.6085514040640934,-0.7538994800693241,19427.187790697673,RandomForestRegressor,0.6921949364310207
he,0.00029228640584980114,0.2060685957899181,0.357435221955123,-0.5821477490640125,587235.4888399874,RandomForestRegressor,0.26730089719868194
wyde,-0.000266930679219356,0.07279489675458162,-0.9240555885401961,-0.19334822536609575,1403.5625,RandomForestRegressor,0.20432286396270144
cor,0.0014347947284844068,0.2744242142068162,1.3175523618538247,-0.2841674083202117,280899.6822535211,RandomForestRegressor,0.7403535790954452
imkta,0.0005803523453344798,0.39947447966792315,0.3661029639386807,-0.7396108026833218,74745.3156240176,RandomForestRegressor,0.6403929693132799
nep,0.000531786449989748,0.35649926319804287,0.375905925289307,-0.5794074453949976,305230.1310096154,RandomForestRegressor,0.6079802908472287
ddbi,0.0010434042194498213,0.16656898155116576,1.5785523862411752,-0.10255796320683186,1307.915824915825,RandomForestRegressor,0.2891977250837224
flks,-0.0012250463557770745,0.7171874917372922,-0.430447665655754,-0.8866363260239967,77869.10964912281,RandomForestRegressor,0.5634380881617979
emxc,0.0005750302495499929,0.13654144827964795,1.0612720511783036,-0.03421907857006312,1101.7037037037037,SVR,0.3152473251902567
nac,0.00019453726262780053,0.157829677228755,0.31060945598432843,-0.5189485736093884,95069.26375353662,RandomForestRegressor,0.08600407260295302
dfin,-0.000309598748556719,0.34022695721994173,-0.22931423563200323,-0.300606520090978,340217.3576923077,RandomForestRegressor,0.4160203288764459
psx,0.0010659468757018495,0.2576468187093102,1.0425846281453015,-0.32014397480440915,3752081.6239067055,RandomForestRegressor,1.3079660336358478
atacu,0.00041449930786441325,0.05575865758599341,1.8733203076264693,-0.00871248789932233,19149.583333333332,RandomForestRegressor,0.033352924453488274
joe,-0.00011904423149354839,0.38699233765128016,-0.0775187088159004,-0.8476336598607341,686711.4548883999,RandomForestRegressor,0.7455190041931906
hdb,0.0011206719146829131,0.41552250965283316,0.6796486735124063,-0.6809233610341644,1369987.9541024836,RandomForestRegressor,0.7831245196672182
agn_a,-0.0008104665827305448,0.24248881485390208,-0.8422556684569106,-0.4490173614171147,35603.869491525424,RandomForestRegressor,16.403268892734218
rexr_a,4.9100412235997875e-05,0.1446653826247596,0.08553050950389401,-0.15244375484871997,11606.025089605735,RandomForestRegressor,0.16728926019382362
jhd,0.00019233160621443725,0.07227858598104854,0.6705660342988226,-0.03037857802400734,56345.64819944598,RandomForestRegressor,0.04819364102834875
wpcs,-0.0004884154003344933,0.9195091132351326,-0.1338547700209891,-0.9995497247570156,45184.142266072566,RandomForestRegressor,29.702454333733357
ath,0.00021143520048999423,0.20587737485673613,0.2588029430652866,-0.13540530716103238,1223328.5633802817,RandomForestRegressor,0.5788970714231728
tapr,-0.0005634888309390793,0.49461503775415083,-0.28709031177339356,-0.6993161705551086,2538.396526772793,RandomForestRegressor,1.0917655837640947
yrcw,0.0011342238722661922,0.7792789107501121,0.36678063767432617,-0.8111204246996367,595918.446354883,RandomForestRegressor,0.660922614094083
hcc,0.003952727499395916,0.392751985432874,2.5361738878287965,-0.14695840522779835,559056.0234375,XGBRegressor,0.4084673732971776
sivb,0.0007970401299579345,0.39032845681685485,0.5145771701796311,-0.8175757575757576,485828.7956617416,RandomForestRegressor,2.1159241904373576
fncf,0.0008836095838448784,0.1284502740103727,1.733508292173267,-0.08243868509390029,836.2694610778443,RandomForestRegressor,0.21325352384077936
igro,0.0006998309145666716,0.1365643610458528,1.2913866335272317,-0.09955505027735856,3980.389684813754,RandomForestRegressor,0.3996353045681051
