symbol,avg_daily_return,volatility,sharpe_ratio,max_drawdown,avg_volume,best_model,best_model_rmse
slyv,0.00043689747341218375,0.2318138856219372,0.4749420553669,-0.6278949578474757,21157.53896920176,RandomForestRegressor,0.8350950673597438
mco,0.0008113553452616337,0.34289640461302523,0.5962778969253882,-0.7911455580999354,2148108.2598039214,RandomForestRegressor,0.9751083967840525
gmz,-0.00032804595463482026,0.3356133571004492,-0.24631790963919317,-0.7350613187985071,237200.91922290387,XGBRegressor,0.2048833284424082
wd,0.001127276928171599,0.35293235335012896,0.8048958481780945,-0.42153704555913485,157838.52242283052,RandomForestRegressor,0.5445302062008279
cool,0.0007221206161188014,0.8940485257297519,0.20353972969577291,-0.9927212866383078,26403.662157911294,RandomForestRegressor,3.3178238529109088
nkg,0.0001357554684274289,0.14673083495012604,0.23315057162552252,-0.40390858208955227,13196.733503347146,RandomForestRegressor,0.09849999508149289
cnac,-0.0006825183691672362,0.03820237952577228,-4.502196752275906,-0.006153846153846176,37384.0,RandomForestRegressor,0.005799999999991812
inn_d,3.088870447128287e-06,0.1380169796894902,0.0056398520995573,-0.16387959866220736,6217.253205128205,XGBRegressor,0.21190292185631462
cvg,0.00048029282087412876,0.4164580191270586,0.29062663054004934,-0.9263421212061991,851923.9286307053,RandomForestRegressor,0.6203713629183361
play,0.0013766108035579688,0.34984337676215577,0.9916035161427547,-0.36424749622719166,652406.8194993412,RandomForestRegressor,0.9543440678646357
nlsn,0.0003797661883537738,0.23383604671383898,0.4092657261789364,-0.327430994717655,2196827.475147929,RandomForestRegressor,0.5078824892548638
evok,0.00052806800086014,0.9232000313388972,0.14414334022905326,-0.8777403035413154,284086.1762977473,RandomForestRegressor,0.3002655000986547
ldr,0.00041427581310425913,0.3310904769938712,0.315314127576692,-0.5441579428089651,50192.64348925411,RandomForestRegressor,0.9244440583475344
hydb,6.821375230841162e-05,0.030026190628777795,0.5724957186292079,-0.016719813338518463,1442.313725490196,XGBRegressor,0.07271860721350214
blvdu,9.991030396310294e-05,0.09741405526531942,0.2584575350048629,-0.0636363636363636,21175.145077720208,RandomForestRegressor,0.05259541633971484
fsbc,0.001067627416009401,0.15685654070691876,1.7152112855597481,-0.06241610738255032,4164.114942528736,RandomForestRegressor,0.1154171554368531
cubs,0.0002190077912595321,0.08818942841403521,0.6258115557603353,-0.04074992882996453,4677.216473072862,RandomForestRegressor,0.11722617599032822
rare,0.0006166316124189093,0.6316754442106615,0.24599842807526132,-0.6629875456782759,437814.24732334045,RandomForestRegressor,3.012598621318779
flqd,0.0003278957881037241,0.084412671130295,0.9788783780410825,-0.06261631513647647,4268.352348993289,RandomForestRegressor,0.1621050950823784
dyb,0.00016549875508331725,0.05397566219599395,0.7726757687484439,-0.0325881368019596,4895.011461318051,RandomForestRegressor,0.08679049901219407
cfbk,0.000514004873156555,0.9174747894363489,0.14118014960937317,-0.9797260273972602,9697.589956647398,RandomForestRegressor,0.5606378354202657
llqd,5.066718065753021e-05,0.1259734993350327,0.10135567871890377,-0.012394645513138292,209.83333333333334,ElasticNet,0.317974999999997
nssc,0.0007247915304381637,0.5088853977629877,0.358916696123171,-0.9311809685641461,46083.025834908636,RandomForestRegressor,0.15706491923136748
bap,0.001028130416237385,0.31319025221397995,0.827257116274502,-0.6492567598034058,386981.61194968555,RandomForestRegressor,1.474444365961432
